Chattanooga,TN,"191,496",,,,,,
Fort Lauderdale,FL,"190,641",,,,,,
Tempe,AZ,"190,114",,,,,,
Akron,OH,"189,664",,,,,,
Glendale,CA,"187,823",,,,,,
Clarksville,TN,"185,690",,,,,,
Ontario,CA,"185,285",,,,,,
Newport News[l],VA,"183,056",,,,,,
Elk Grove,CA,"182,797",,,,,,
Cary,NC,"182,659",,,,,,
Aurora,IL,"180,710",,,,,,
Salem,OR,"180,406",,,,,,
Pembroke Pines,FL,"179,326",,,,,,
Eugene,OR,"178,786",,,,,,
Santa Rosa,CA,"177,524",,,,,,
Rancho Cucamonga,CA,"176,675",,,,,,
Shreveport,LA,"176,578",,,,,,
Garden Grove,CA,"172,361",,,,,,
Oceanside,CA,"170,941",,,,,,
Fort Collins,CO,"170,924",,,,,,
Springfield,MO,"170,596",,,,,,
Murfreesboro,TN,"168,387",,,,,,
Surprise,AZ,"167,564",,,,,,
Lancaster,CA,"167,426",,,,,,
Denton,TX,"165,998",,,,,,
Roseville,CA,"163,304",,,,,,
Palmdale,CA,"162,536",,,,,,
Corona,CA,"161,540",,,,,,
Salinas,CA,"160,783",,,,,,
Killeen,TX,"160,616",,,,,,
Paterson,NJ,"160,463",,,,,,
Alexandria[l],VA,"159,102",,,,,,
Hollywood,FL,"159,073",,,,,,
Hayward,CA,"158,440",,,,,,
Charleston,SC,"157,665",,,,,,
Macon[u],GA,"157,056",,,,,,
Lakewood,CO,"156,868",,,,,,
Sunnyvale,CA,"156,792",,,,,,
Kansas City[v],KS,"156,752",,,,,,
Springfield,MA,"154,888",,,,,,
Bellevue,WA,"154,377",,,,,,
Naperville,IL,"153,124",,,,,,
Joliet,IL,"151,837",,,,,,
Bridgeport,CT,"151,599",,,,,,
Mesquite,TX,"150,140",,,,,,
Pasadena,TX,"149,617",,,,,,
Olathe,KS,"149,035",,,,,,
Escondido,CA,"148,847",,,,,,
Savannah,GA,"148,808",,,,,,
McAllen,TX,"148,782",,,,,,
Gainesville,FL,"148,720",,,,,,
Pomona,CA,"147,966",,,,,,
Rockford,IL,"147,486",,,,,,
Thornton,CO,"146,689",,,,,,
Waco,TX,"146,608",,,,,,
Visalia,CA,"146,271",,,,,,
Syracuse,NY,"146,097",,,,,,
Columbia,SC,"144,788",,,,,,
Midland,TX,"143,687",,,,,,
Miramar,FL,"143,242",,,,,,
Palm Bay,FL,"142,023",,,,,,
Lakewood[w],NJ,"141,985",,,,,,
Jackson,MS,"141,449",,,,,,
Coral Springs,FL,"140,808",,,,,,
Victorville,CA,"140,721",,,,,,
Elizabeth,NJ,"140,413",,,,,,
Fullerton,CA,"140,054",,,,,,
Meridian,ID,"139,740",,,,,,
Torrance,CA,"139,576",,,,,,
Stamford,CT,"139,134",,,,,,
West Valley City,UT,"138,144",,,,,,
Orange,CA,"137,941",,,,,,
Cedar Rapids,IA,"137,904",,,,,,
Warren,MI,"137,686",,,,,,
Hampton[l],VA,"137,596",,,,,,
New Haven,CT,"137,562",,,,,,
Pasadena,CA,"137,195",,,,,,
Kent,WA,"136,588",,,,,,
Dayton,OH,"136,346",,,,,,
Fargo,ND,"136,285",,,,,,
Lewisville,TX,"135,983",,,,,,
Carrollton,TX,"135,456",,,,,,
Round Rock,TX,"135,359",,,,,,
Sterling Heights,MI,"134,342",,,,,,
Santa Clara,CA,"133,132",,,,,,
Norman,OK,"131,010",,,,,,
Columbia,MO,"130,900",,,,,,
Abilene,TX,"130,501",,,,,,
Pearland,TX,"129,620",,,,,,
Athens[x],GA,"128,691",,,,,,
College Station,TX,"128,023",,,,,,
Clovis,CA,"127,993",,,,,,
West Palm Beach,FL,"127,744",,,,,,
Allentown,PA,"127,138",,,,,,
North Charleston,SC,"126,005",,,,,,
Simi Valley,CA,"125,778",,,,,,
Topeka,KS,"125,467",,,,,,
Wilmington,NC,"125,284",,,,,,
Lakeland,FL,"124,990",,,,,,
Thousand Oaks,CA,"124,229",,,,,,
Concord,CA,"124,016",,,,,,
Rochester,MN,"123,624",,,,,,
Vallejo,CA,"123,475",,,,,,
Ann Arbor,MI,"122,925",,,,,,
Broken Arrow,OK,"122,756",,,,,,
Fairfield,CA,"122,646",,,,,,
Lafayette[y],LA,"122,280",,,,,,
Hartford,CT,"122,129",,,,,,
Arvada,CO,"121,873",,,,,,
Berkeley,CA,"121,749",,,,,,
Independence,MO,"121,629",,,,,,
Billings,MT,"121,483",,,,,,
Cambridge,MA,"121,186",,,,,,
Lowell,MA,"120,418",,,,,,
Odessa,TX,"119,748",,,,,,
High Point,NC,"118,601",,,,,,
League City,TX,"118,456",,,,,,
Antioch,CA,"118,453",,,,,,
Richardson,TX,"118,221",,,,,,
Goodyear,AZ,"118,186",,,,,,
Pompano Beach,FL,"118,104",,,,,,
Nampa,ID,"117,350",,,,,,
Menifee,CA,"117,041",,,,,,
Las Cruces,NM,"116,998",,,,,,
Clearwater,FL,"116,811",,,,,,
West Jordan,UT,"116,688",,,,,,
New Braunfels,TX,"116,477",,,,,,
Manchester,NH,"116,386",,,,,,
Miami Gardens,FL,"116,173",,,,,,
Waterbury,CT,"115,908",,,,,,
Provo,UT,"115,479",,,,,,
Evansville,IN,"115,395",,,,,,
Richmond,CA,"115,353",,,,,,
Westminster,CO,"115,302",,,,,,
Elgin,IL,"114,701",,,,,,
Conroe,TX,"114,581",,,,,,
Greeley,CO,"114,363",,,,,,
Lansing,MI,"114,336",,,,,,
Buckeye,AZ,"114,334",,,,,,
Tuscaloosa,AL,"114,288",,,,,,
Allen,TX,"113,746",,,,,,
Carlsbad,CA,"113,575",,,,,,
Everett,WA,"113,011",,,,,,
Springfield,IL,"112,949",,,,,,
Beaumont,TX,"112,893",,,,,,
